"Año","Comunidad autónoma","Provincia","Origen de la denuncia","Número de denuncias por violencia de género"
"Año 2012","Cataluña","Lleida","Presentada directamente por familiares","5.0"
"Año 2012","Cataluña","Lleida","Atestados policiales - con denuncia victima","630.0"
"Año 2012","Cataluña","Lleida","Atestados policiales - con denuncia familiar","5.0"
"Año 2012","Cataluña","Lleida","Atestados policiales - por intervención directa policial","204.0"
"Año 2012","Cataluña","Lleida","Parte de lesiones","35.0"
"Año 2012","Cataluña","Lleida","Servicios asistencia-Terceros  en general","5.0"
"Año 2012","Cataluña","Tarragona","Presentada directamente por victima","53.0"
"Año 2012","Cataluña","Tarragona","Presentada directamente por familiares","11.0"
"Año 2012","Cataluña","Tarragona","Atestados policiales - con denuncia victima","1684.0"
"Año 2012","Cataluña","Tarragona","Atestados policiales - con denuncia familiar","10.0"
"Año 2012","Cataluña","Tarragona","Atestados policiales - por intervención directa policial","311.0"
"Año 2012","Cataluña","Tarragona","Parte de lesiones","241.0"
"Año 2012","Cataluña","Tarragona","Servicios asistencia-Terceros  en general","39.0"
"Año 2012","Comunidad Valenciana","Alicante","Presentada directamente por victima","153.0"
"Año 2012","Comunidad Valenciana","Alicante","Presentada directamente por familiares","8.0"
"Año 2012","Comunidad Valenciana","Alicante","Atestados policiales - con denuncia victima","4887.0"
"Año 2012","Comunidad Valenciana","Alicante","Atestados policiales - con denuncia familiar","27.0"
"Año 2012","Comunidad Valenciana","Alicante","Atestados policiales - por intervención directa policial","791.0"
"Año 2012","Comunidad Valenciana","Alicante","Parte de lesiones","1330.0"
"Año 2012","Comunidad Valenciana","Alicante","Servicios asistencia-Terceros  en general","50.0"
"Año 2012","Comunidad Valenciana","Castellón","Presentada directamente por victima","4.0"
"Año 2012","Comunidad Valenciana","Castellón","Presentada directamente por familiares","0.0"
"Año 2012","Comunidad Valenciana","Castellón","Atestados policiales - con denuncia victima","1104.0"
"Año 2012","Comunidad Valenciana","Castellón","Atestados policiales - con denuncia familiar","11.0"
"Año 2012","Comunidad Valenciana","Castellón","Atestados policiales - por intervención directa policial","112.0"
"Año 2012","Comunidad Valenciana","Castellón","Parte de lesiones","488.0"
"Año 2012","Comunidad Valenciana","Castellón","Servicios asistencia-Terceros  en general","11.0"
"Año 2012","Comunidad Valenciana","Valencia","Presentada directamente por victima","640.0"
"Año 2012","Comunidad Valenciana","Valencia","Presentada directamente por familiares","20.0"
"Año 2012","Comunidad Valenciana","Valencia","Atestados policiales - con denuncia victima","3846.0"
"Año 2012","Comunidad Valenciana","Valencia","Atestados policiales - con denuncia familiar","50.0"
"Año 2012","Comunidad Valenciana","Valencia","Atestados policiales - por intervención directa policial","2551.0"
"Año 2012","Comunidad Valenciana","Valencia","Parte de lesiones","1560.0"
"Año 2012","Comunidad Valenciana","Valencia","Servicios asistencia-Terceros  en general","187.0"
"Año 2012","Extremadura","Badajoz","Presentada directamente por victima","78.0"
"Año 2012","Extremadura","Badajoz","Presentada directamente por familiares","0.0"
"Año 2012","Extremadura","Badajoz","Atestados policiales - con denuncia victima","826.0"
"Año 2012","Extremadura","Badajoz","Atestados policiales - con denuncia familiar","3.0"
"Año 2012","Extremadura","Badajoz","Atestados policiales - por intervención directa policial","152.0"
"Año 2012","Extremadura","Badajoz","Parte de lesiones","39.0"
"Año 2012","Extremadura","Badajoz","Servicios asistencia-Terceros  en general","245.0"
"Año 2012","Extremadura","Cáceres","Presentada directamente por victima","142.0"
"Año 2012","Extremadura","Cáceres","Presentada directamente por familiares","0.0"
"Año 2012","Extremadura","Cáceres","Atestados policiales - con denuncia victima","423.0"
"Año 2012","Extremadura","Cáceres","Atestados policiales - con denuncia familiar","2.0"
"Año 2012","Extremadura","Cáceres","Atestados policiales - por intervención directa policial","19.0"
"Año 2012","Extremadura","Cáceres","Parte de lesiones","37.0"
"Año 2012","Extremadura","Cáceres","Servicios asistencia-Terceros  en general","1.0"
"Año 2012","Galicia","A Coruña","Presentada directamente por victima","114.0"
"Año 2012","Galicia","A Coruña","Presentada directamente por familiares","0.0"
"Año 2012","Galicia","A Coruña","Atestados policiales - con denuncia victima","1216.0"
"Año 2012","Galicia","A Coruña","Atestados policiales - con denuncia familiar","37.0"
"Año 2012","Galicia","A Coruña","Atestados policiales - por intervención directa policial","105.0"
"Año 2012","Galicia","A Coruña","Parte de lesiones","159.0"
"Año 2012","Galicia","A Coruña","Servicios asistencia-Terceros  en general","2.0"
"Año 2012","Galicia","Lugo","Presentada directamente por victima","44.0"
"Año 2012","Galicia","Lugo","Presentada directamente por familiares","0.0"
"Año 2012","Galicia","Lugo","Atestados policiales - con denuncia victima","398.0"
"Año 2012","Galicia","Lugo","Atestados policiales - con denuncia familiar","2.0"
"Año 2012","Galicia","Lugo","Atestados policiales - por intervención directa policial","14.0"
"Año 2012","Galicia","Lugo","Parte de lesiones","17.0"
"Año 2012","Galicia","Lugo","Servicios asistencia-Terceros  en general","4.0"
"Año 2012","Galicia","Ourense","Presentada directamente por victima","20.0"
"Año 2012","Galicia","Ourense","Presentada directamente por familiares","0.0"
"Año 2012","Galicia","Ourense","Atestados policiales - con denuncia victima","422.0"
"Año 2012","Galicia","Ourense","Atestados policiales - con denuncia familiar","1.0"
"Año 2012","Galicia","Ourense","Atestados policiales - por intervención directa policial","12.0"
"Año 2012","Galicia","Ourense","Parte de lesiones","9.0"
"Año 2012","Galicia","Ourense","Servicios asistencia-Terceros  en general","2.0"
"Año 2012","Galicia","Pontevedra","Presentada directamente por victima","442.0"
"Año 2012","Galicia","Pontevedra","Presentada directamente por familiares","1.0"
"Año 2012","Galicia","Pontevedra","Atestados policiales - con denuncia victima","1360.0"
"Año 2012","Galicia","Pontevedra","Atestados policiales - con denuncia familiar","19.0"
"Año 2012","Galicia","Pontevedra","Atestados policiales - por intervención directa policial","104.0"
"Año 2012","Galicia","Pontevedra","Parte de lesiones","274.0"
"Año 2012","Galicia","Pontevedra","Servicios asistencia-Terceros  en general","10.0"
"Año 2012","Comunidad de Madrid","Madrid","Presentada directamente por victima","1869.0"
"Año 2012","Comunidad de Madrid","Madrid","Presentada directamente por familiares","16.0"
"Año 2012","Comunidad de Madrid","Madrid","Atestados policiales - con denuncia victima","13088.0"
"Año 2012","Comunidad de Madrid","Madrid","Atestados policiales - con denuncia familiar","135.0"
"Año 2012","Comunidad de Madrid","Madrid","Atestados policiales - por intervención directa policial","3840.0"
"Año 2012","Comunidad de Madrid","Madrid","Parte de lesiones","1316.0"
"Año 2012","Comunidad de Madrid","Madrid","Servicios asistencia-Terceros  en general","671.0"
"Año 2012","Región de Murcia","Murcia","Presentada directamente por victima","113.0"
"Año 2012","Región de Murcia","Murcia","Presentada directamente por familiares","143.0"
"Año 2012","Región de Murcia","Murcia","Atestados policiales - con denuncia victima","3019.0"
"Año 2012","Región de Murcia","Murcia","Atestados policiales - con denuncia familiar","31.0"
"Año 2012","Región de Murcia","Murcia","Atestados policiales - por intervención directa policial","613.0"
"Año 2012","Región de Murcia","Murcia","Parte de lesiones","813.0"
"Año 2012","Región de Murcia","Murcia","Servicios asistencia-Terceros  en general","64.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Presentada directamente por victima","76.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Presentada directamente por familiares","7.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Atestados policiales - con denuncia victima","1008.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Atestados policiales - con denuncia familiar","97.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Atestados policiales - por intervención directa policial","15.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Parte de lesiones","108.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Servicios asistencia-Terceros  en general","22.0"
"Año 2012","País Vasco","Álava","Presentada directamente por victima","34.0"
"Año 2012","País Vasco","Álava","Presentada directamente por familiares","3.0"
"Año 2012","País Vasco","Álava","Atestados policiales - con denuncia victima","319.0"
"Año 2012","País Vasco","Álava","Atestados policiales - con denuncia familiar","12.0"
"Año 2012","País Vasco","Álava","Atestados policiales - por intervención directa policial","314.0"
"Año 2012","País Vasco","Álava","Parte de lesiones","23.0"
"Año 2012","País Vasco","Álava","Servicios asistencia-Terceros  en general","29.0"
"Año 2012","País Vasco","Guipúzcoa","Presentada directamente por victima","91.0"
"Año 2012","País Vasco","Guipúzcoa","Presentada directamente por familiares","3.0"
"Año 2012","País Vasco","Guipúzcoa","Atestados policiales - con denuncia victima","556.0"
"Año 2012","País Vasco","Guipúzcoa","Atestados policiales - con denuncia familiar","12.0"
"Año 2012","País Vasco","Guipúzcoa","Atestados policiales - por intervención directa policial","217.0"
"Año 2012","País Vasco","Guipúzcoa","Parte de lesiones","74.0"
"Año 2012","País Vasco","Guipúzcoa","Servicios asistencia-Terceros  en general","22.0"
"Año 2012","País Vasco","Vizcaya","Presentada directamente por victima","356.0"
"Año 2012","País Vasco","Vizcaya","Presentada directamente por familiares","6.0"
"Año 2012","País Vasco","Vizcaya","Atestados policiales - con denuncia victima","1080.0"
"Año 2012","País Vasco","Vizcaya","Atestados policiales - con denuncia familiar","19.0"
"Año 2012","País Vasco","Vizcaya","Atestados policiales - por intervención directa policial","561.0"
"Año 2012","País Vasco","Vizcaya","Parte de lesiones","116.0"
"Año 2012","País Vasco","Vizcaya","Servicios asistencia-Terceros  en general","6.0"
"Año 2012","La Rioja","La Rioja","Presentada directamente por victima","27.0"
"Año 2012","La Rioja","La Rioja","Presentada directamente por familiares","8.0"
"Año 2012","La Rioja","La Rioja","Atestados policiales - con denuncia victima","466.0"
"Año 2012","La Rioja","La Rioja","Atestados policiales - con denuncia familiar","8.0"
"Año 2012","La Rioja","La Rioja","Atestados policiales - por intervención directa policial","120.0"
"Año 2012","La Rioja","La Rioja","Parte de lesiones","28.0"
"Año 2012","La Rioja","La Rioja","Servicios asistencia-Terceros  en general","44.0"
"Año 2012","Ceuta","Ceuta","Presentada directamente por victima","4.0"
"Año 2012","Ceuta","Ceuta","Presentada directamente por familiares","1.0"
"Año 2012","Ceuta","Ceuta","Atestados policiales - con denuncia victima","316.0"
"Año 2012","Ceuta","Ceuta","Atestados policiales - con denuncia familiar","0.0"
"Año 2012","Ceuta","Ceuta","Atestados policiales - por intervención directa policial","10.0"
"Año 2012","Ceuta","Ceuta","Parte de lesiones","7.0"
"Año 2012","Ceuta","Ceuta","Servicios asistencia-Terceros  en general","3.0"
"Año 2012","Melilla","Melilla","Presentada directamente por victima","11.0"
"Año 2012","Melilla","Melilla","Presentada directamente por familiares","0.0"
"Año 2012","Melilla","Melilla","Atestados policiales - con denuncia victima","192.0"
"Año 2012","Melilla","Melilla","Atestados policiales - con denuncia familiar","0.0"
"Año 2012","Melilla","Melilla","Atestados policiales - por intervención directa policial","33.0"
"Año 2012","Melilla","Melilla","Parte de lesiones","76.0"
"Año 2012","Melilla","Melilla","Servicios asistencia-Terceros  en general","5.0"
"Año 2013","Andalucía","Almería","Presentada directamente por victima","70.0"
"Año 2013","Andalucía","Almería","Presentada directamente por familiares","0.0"
"Año 2013","Andalucía","Almería","Atestados policiales - con denuncia victima","1603.0"
"Año 2013","Andalucía","Almería","Atestados policiales - con denuncia familiar","55.0"
"Año 2013","Andalucía","Almería","Atestados policiales - por intervención directa policial","112.0"
"Año 2013","Andalucía","Almería","Parte de lesiones","239.0"
"Año 2013","Andalucía","Almería","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Andalucía","Cádiz","Presentada directamente por victima","301.0"
"Año 2013","Andalucía","Cádiz","Presentada directamente por familiares","6.0"
"Año 2013","Andalucía","Cádiz","Atestados policiales - con denuncia victima","2429.0"
"Año 2013","Andalucía","Cádiz","Atestados policiales - con denuncia familiar","54.0"
"Año 2013","Andalucía","Cádiz","Atestados policiales - por intervención directa policial","453.0"
"Año 2013","Andalucía","Cádiz","Parte de lesiones","390.0"
"Año 2013","Andalucía","Cádiz","Servicios asistencia-Terceros  en general","100.0"
"Año 2013","Andalucía","Córdoba","Presentada directamente por victima","144.0"
"Año 2013","Andalucía","Córdoba","Presentada directamente por familiares","3.0"
"Año 2013","Andalucía","Córdoba","Atestados policiales - con denuncia victima","1296.0"
"Año 2013","Andalucía","Córdoba","Atestados policiales - con denuncia familiar","5.0"
"Año 2013","Andalucía","Córdoba","Atestados policiales - por intervención directa policial","30.0"
"Año 2013","Andalucía","Córdoba","Parte de lesiones","149.0"
"Año 2013","Andalucía","Córdoba","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Andalucía","Granada","Presentada directamente por victima","233.0"
"Año 2013","Andalucía","Granada","Presentada directamente por familiares","1.0"
"Año 2013","Andalucía","Granada","Atestados policiales - con denuncia victima","2420.0"
"Año 2013","Andalucía","Granada","Atestados policiales - con denuncia familiar","34.0"
"Año 2013","Andalucía","Granada","Atestados policiales - por intervención directa policial","105.0"
"Año 2013","Andalucía","Granada","Parte de lesiones","471.0"
"Año 2013","Andalucía","Granada","Servicios asistencia-Terceros  en general","29.0"
"Año 2013","Andalucía","Huelva","Presentada directamente por victima","73.0"
"Año 2013","Andalucía","Huelva","Presentada directamente por familiares","2.0"
"Año 2013","Andalucía","Huelva","Atestados policiales - con denuncia victima","1119.0"
"Año 2013","Andalucía","Huelva","Atestados policiales - con denuncia familiar","15.0"
"Año 2013","Andalucía","Huelva","Atestados policiales - por intervención directa policial","221.0"
"Año 2013","Andalucía","Huelva","Parte de lesiones","149.0"
"Año 2013","Andalucía","Huelva","Servicios asistencia-Terceros  en general","61.0"
"Año 2013","Andalucía","Jaén","Presentada directamente por victima","141.0"
"Año 2013","Andalucía","Jaén","Presentada directamente por familiares","0.0"
"Año 2013","Andalucía","Jaén","Atestados policiales - con denuncia victima","1068.0"
"Año 2013","Andalucía","Jaén","Atestados policiales - con denuncia familiar","12.0"
"Año 2013","Andalucía","Jaén","Atestados policiales - por intervención directa policial","48.0"
"Año 2013","Andalucía","Jaén","Parte de lesiones","193.0"
"Año 2013","Andalucía","Jaén","Servicios asistencia-Terceros  en general","10.0"
"Año 2013","Andalucía","Málaga","Presentada directamente por victima","374.0"
"Año 2013","Andalucía","Málaga","Presentada directamente por familiares","76.0"
"Año 2013","Andalucía","Málaga","Atestados policiales - con denuncia victima","3119.0"
"Año 2013","Andalucía","Málaga","Atestados policiales - con denuncia familiar","109.0"
"Año 2013","Andalucía","Málaga","Atestados policiales - por intervención directa policial","949.0"
"Año 2013","Andalucía","Málaga","Parte de lesiones","937.0"
"Año 2013","Andalucía","Málaga","Servicios asistencia-Terceros  en general","645.0"
"Año 2013","Andalucía","Sevilla","Presentada directamente por victima","522.0"
"Año 2013","Andalucía","Sevilla","Presentada directamente por familiares","54.0"
"Año 2013","Andalucía","Sevilla","Atestados policiales - con denuncia victima","4370.0"
"Año 2013","Andalucía","Sevilla","Atestados policiales - con denuncia familiar","25.0"
"Año 2013","Andalucía","Sevilla","Atestados policiales - por intervención directa policial","672.0"
"Año 2013","Andalucía","Sevilla","Parte de lesiones","775.0"
"Año 2013","Andalucía","Sevilla","Servicios asistencia-Terceros  en general","5.0"
"Año 2013","Aragón","Huesca","Presentada directamente por victima","48.0"
"Año 2013","Aragón","Huesca","Presentada directamente por familiares","0.0"
"Año 2013","Aragón","Huesca","Atestados policiales - con denuncia victima","194.0"
"Año 2013","Aragón","Huesca","Atestados policiales - con denuncia familiar","0.0"
"Año 2013","Aragón","Huesca","Atestados policiales - por intervención directa policial","28.0"
"Año 2013","Aragón","Huesca","Parte de lesiones","38.0"
"Año 2013","Aragón","Huesca","Servicios asistencia-Terceros  en general","4.0"
"Año 2013","Aragón","Teruel","Presentada directamente por victima","1.0"
"Año 2013","Aragón","Teruel","Presentada directamente por familiares","0.0"
"Año 2013","Aragón","Teruel","Atestados policiales - con denuncia victima","126.0"
"Año 2013","Aragón","Teruel","Atestados policiales - con denuncia familiar","0.0"
"Año 2013","Aragón","Teruel","Atestados policiales - por intervención directa policial","1.0"
"Año 2013","Aragón","Teruel","Parte de lesiones","2.0"
"Año 2013","Aragón","Teruel","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Aragón","Zaragoza","Presentada directamente por victima","252.0"
"Año 2013","Aragón","Zaragoza","Presentada directamente por familiares","0.0"
"Año 2013","Aragón","Zaragoza","Atestados policiales - con denuncia victima","1352.0"
"Año 2013","Aragón","Zaragoza","Atestados policiales - con denuncia familiar","2.0"
"Año 2013","Aragón","Zaragoza","Atestados policiales - por intervención directa policial","397.0"
"Año 2013","Aragón","Zaragoza","Parte de lesiones","608.0"
"Año 2013","Aragón","Zaragoza","Servicios asistencia-Terceros  en general","21.0"
"Año 2013","Principado de Asturias","Asturias","Presentada directamente por victima","337.0"
"Año 2013","Principado de Asturias","Asturias","Presentada directamente por familiares","3.0"
"Año 2013","Principado de Asturias","Asturias","Atestados policiales - con denuncia victima","1283.0"
"Año 2013","Principado de Asturias","Asturias","Atestados policiales - con denuncia familiar","16.0"
"Año 2013","Principado de Asturias","Asturias","Atestados policiales - por intervención directa policial","369.0"
"Año 2013","Principado de Asturias","Asturias","Parte de lesiones","415.0"
"Año 2013","Principado de Asturias","Asturias","Servicios asistencia-Terceros  en general","15.0"
"Año 2013","Islas Baleares","Islas Baleares","Presentada directamente por victima","281.0"
"Año 2013","Islas Baleares","Islas Baleares","Presentada directamente por familiares","18.0"
"Año 2013","Islas Baleares","Islas Baleares","Atestados policiales - con denuncia victima","2635.0"
"Año 2013","Islas Baleares","Islas Baleares","Atestados policiales - con denuncia familiar","45.0"
"Año 2013","Islas Baleares","Islas Baleares","Atestados policiales - por intervención directa policial","483.0"
"Año 2013","Islas Baleares","Islas Baleares","Parte de lesiones","878.0"
"Año 2013","Islas Baleares","Islas Baleares","Servicios asistencia-Terceros  en general","32.0"
"Año 2013","Canarias","Las Palmas","Presentada directamente por victima","278.0"
"Año 2013","Canarias","Las Palmas","Presentada directamente por familiares","8.0"
"Año 2013","Canarias","Las Palmas","Atestados policiales - con denuncia victima","2694.0"
"Año 2013","Canarias","Las Palmas","Atestados policiales - con denuncia familiar","29.0"
"Año 2013","Canarias","Las Palmas","Atestados policiales - por intervención directa policial","259.0"
"Año 2013","Canarias","Las Palmas","Parte de lesiones","664.0"
"Año 2013","Canarias","Las Palmas","Servicios asistencia-Terceros  en general","26.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Presentada directamente por victima","279.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Presentada directamente por familiares","103.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Atestados policiales - con denuncia victima","2042.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Atestados policiales - con denuncia familiar","32.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Atestados policiales - por intervención directa policial","399.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Parte de lesiones","192.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Servicios asistencia-Terceros  en general","106.0"
"Año 2013","Cantabria","Cantabria","Presentada directamente por victima","55.0"
"Año 2013","Cantabria","Cantabria","Presentada directamente por familiares","1.0"
"Año 2013","Cantabria","Cantabria","Atestados policiales - con denuncia victima","668.0"
"Año 2013","Cantabria","Cantabria","Atestados policiales - con denuncia familiar","6.0"
"Año 2013","Cantabria","Cantabria","Atestados policiales - por intervención directa policial","186.0"
"Año 2013","Cantabria","Cantabria","Parte de lesiones","168.0"
"Año 2013","Cantabria","Cantabria","Servicios asistencia-Terceros  en general","53.0"
"Año 2013","Castilla y León","Ávila","Presentada directamente por victima","76.0"
"Año 2013","Castilla y León","Ávila","Presentada directamente por familiares","2.0"
"Año 2013","Castilla y León","Ávila","Atestados policiales - con denuncia victima","120.0"
"Año 2013","Castilla y León","Ávila","Atestados policiales - con denuncia familiar","3.0"
"Año 2013","Castilla y León","Ávila","Atestados policiales - por intervención directa policial","12.0"
"Año 2013","Castilla y León","Ávila","Parte de lesiones","15.0"
"Año 2013","Castilla y León","Ávila","Servicios asistencia-Terceros  en general","5.0"
"Año 2013","Castilla y León","Burgos","Presentada directamente por victima","39.0"
"Año 2013","Castilla y León","Burgos","Presentada directamente por familiares","1.0"
"Año 2013","Castilla y León","Burgos","Atestados policiales - con denuncia victima","311.0"
"Año 2013","Castilla y León","Burgos","Atestados policiales - con denuncia familiar","15.0"
"Año 2013","Castilla y León","Burgos","Atestados policiales - por intervención directa policial","150.0"
"Año 2013","Castilla y León","Burgos","Parte de lesiones","52.0"
"Año 2013","Castilla y León","Burgos","Servicios asistencia-Terceros  en general","19.0"
"Año 2013","Castilla y León","León","Presentada directamente por victima","59.0"
"Año 2013","Castilla y León","León","Presentada directamente por familiares","0.0"
"Año 2013","Castilla y León","León","Atestados policiales - con denuncia victima","487.0"
"Año 2013","Castilla y León","León","Atestados policiales - con denuncia familiar","1.0"
"Año 2013","Castilla y León","León","Atestados policiales - por intervención directa policial","139.0"
"Año 2013","Castilla y León","León","Parte de lesiones","120.0"
"Año 2013","Castilla y León","León","Servicios asistencia-Terceros  en general","16.0"
"Año 2013","Castilla y León","Palencia","Presentada directamente por victima","14.0"
"Año 2013","Castilla y León","Palencia","Presentada directamente por familiares","2.0"
"Año 2013","Castilla y León","Palencia","Atestados policiales - con denuncia victima","222.0"
"Año 2013","Castilla y León","Palencia","Atestados policiales - con denuncia familiar","13.0"
"Año 2013","Castilla y León","Palencia","Atestados policiales - por intervención directa policial","61.0"
"Año 2013","Castilla y León","Palencia","Parte de lesiones","13.0"
"Año 2013","Castilla y León","Palencia","Servicios asistencia-Terceros  en general","5.0"
"Año 2013","Castilla y León","Salamanca","Presentada directamente por victima","27.0"
"Año 2013","Castilla y León","Salamanca","Presentada directamente por familiares","0.0"
"Año 2013","Castilla y León","Salamanca","Atestados policiales - con denuncia victima","248.0"
"Año 2013","Castilla y León","Salamanca","Atestados policiales - con denuncia familiar","2.0"
"Año 2013","Castilla y León","Salamanca","Atestados policiales - por intervención directa policial","15.0"
"Año 2013","Castilla y León","Salamanca","Parte de lesiones","19.0"
"Año 2013","Castilla y León","Salamanca","Servicios asistencia-Terceros  en general","1.0"
"Año 2013","Castilla y León","Segovia","Presentada directamente por victima","16.0"
"Año 2013","Castilla y León","Segovia","Presentada directamente por familiares","0.0"
"Año 2013","Castilla y León","Segovia","Atestados policiales - con denuncia victima","125.0"
"Año 2013","Castilla y León","Segovia","Atestados policiales - con denuncia familiar","2.0"
"Año 2013","Castilla y León","Segovia","Atestados policiales - por intervención directa policial","63.0"
"Año 2013","Castilla y León","Segovia","Parte de lesiones","10.0"
"Año 2013","Castilla y León","Segovia","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla y León","Soria","Presentada directamente por victima","1.0"
"Año 2013","Castilla y León","Soria","Presentada directamente por familiares","1.0"
"Año 2013","Castilla y León","Soria","Atestados policiales - con denuncia victima","100.0"
"Año 2013","Castilla y León","Soria","Atestados policiales - con denuncia familiar","1.0"
"Año 2013","Castilla y León","Soria","Atestados policiales - por intervención directa policial","1.0"
"Año 2013","Castilla y León","Soria","Parte de lesiones","0.0"
"Año 2013","Castilla y León","Soria","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla y León","Valladolid","Presentada directamente por victima","170.0"
"Año 2013","Castilla y León","Valladolid","Presentada directamente por familiares","3.0"
"Año 2013","Castilla y León","Valladolid","Atestados policiales - con denuncia victima","1023.0"
"Año 2013","Castilla y León","Valladolid","Atestados policiales - con denuncia familiar","8.0"
"Año 2013","Castilla y León","Valladolid","Atestados policiales - por intervención directa policial","83.0"
"Año 2013","Castilla y León","Valladolid","Parte de lesiones","15.0"
"Año 2013","Castilla y León","Valladolid","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla y León","Zamora","Presentada directamente por victima","69.0"
"Año 2013","Castilla y León","Zamora","Presentada directamente por familiares","25.0"
"Año 2013","Castilla y León","Zamora","Atestados policiales - con denuncia victima","126.0"
"Año 2013","Castilla y León","Zamora","Atestados policiales - con denuncia familiar","1.0"
"Año 2013","Castilla y León","Zamora","Atestados policiales - por intervención directa policial","3.0"
"Año 2013","Castilla y León","Zamora","Parte de lesiones","23.0"
"Año 2013","Castilla y León","Zamora","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla - La Mancha","Albacete","Presentada directamente por victima","92.0"
"Año 2013","Castilla - La Mancha","Albacete","Presentada directamente por familiares","4.0"
"Año 2013","Castilla - La Mancha","Albacete","Atestados policiales - con denuncia victima","617.0"
"Año 2013","Castilla - La Mancha","Albacete","Atestados policiales - con denuncia familiar","7.0"
"Año 2013","Castilla - La Mancha","Albacete","Atestados policiales - por intervención directa policial","45.0"
"Año 2013","Castilla - La Mancha","Albacete","Parte de lesiones","45.0"
"Año 2013","Castilla - La Mancha","Albacete","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Presentada directamente por victima","131.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Presentada directamente por familiares","0.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Atestados policiales - con denuncia victima","817.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Atestados policiales - con denuncia familiar","7.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Atestados policiales - por intervención directa policial","84.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Parte de lesiones","89.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Servicios asistencia-Terceros  en general","2.0"
"Año 2013","Castilla - La Mancha","Cuenca","Presentada directamente por victima","33.0"
"Año 2013","Castilla - La Mancha","Cuenca","Presentada directamente por familiares","2.0"
"Año 2013","Castilla - La Mancha","Cuenca","Atestados policiales - con denuncia victima","326.0"
"Año 2013","Castilla - La Mancha","Cuenca","Atestados policiales - con denuncia familiar","0.0"
"Año 2013","Castilla - La Mancha","Cuenca","Atestados policiales - por intervención directa policial","47.0"
"Año 2013","Castilla - La Mancha","Cuenca","Parte de lesiones","13.0"
"Año 2013","Castilla - La Mancha","Cuenca","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Presentada directamente por victima","376.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Presentada directamente por familiares","0.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Atestados policiales - con denuncia victima","222.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Atestados policiales - con denuncia familiar","3.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Atestados policiales - por intervención directa policial","36.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Parte de lesiones","62.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Castilla - La Mancha","Toledo","Presentada directamente por victima","46.0"
"Año 2013","Castilla - La Mancha","Toledo","Presentada directamente por familiares","0.0"
"Año 2013","Castilla - La Mancha","Toledo","Atestados policiales - con denuncia victima","1004.0"
"Año 2013","Castilla - La Mancha","Toledo","Atestados policiales - con denuncia familiar","0.0"
"Año 2013","Castilla - La Mancha","Toledo","Atestados policiales - por intervención directa policial","124.0"
"Año 2013","Castilla - La Mancha","Toledo","Parte de lesiones","125.0"
"Año 2013","Castilla - La Mancha","Toledo","Servicios asistencia-Terceros  en general","0.0"
"Año 2013","Cataluña","Barcelona","Presentada directamente por victima","2104.0"
"Año 2013","Cataluña","Barcelona","Presentada directamente por familiares","120.0"
"Año 2013","Cataluña","Barcelona","Atestados policiales - con denuncia victima","6424.0"
"Año 2013","Cataluña","Barcelona","Atestados policiales - con denuncia familiar","105.0"
"Año 2013","Cataluña","Barcelona","Atestados policiales - por intervención directa policial","2059.0"
"Año 2013","Cataluña","Barcelona","Parte de lesiones","1213.0"
"Año 2013","Cataluña","Barcelona","Servicios asistencia-Terceros  en general","73.0"
